Iterations,Win,Draw ,Lose ,House Edge
81301,0.47,0.0558,0.4722,0.0002
81401,0.47,0.0606,0.4744,0.0094
81501,0.47,0.0579,0.4701,-0.0019
81601,0.45,0.0641,0.4823,0.0287
81701,0.46,0.0594,0.4789,0.0172
81801,0.47,0.0581,0.4715,0.0011
81901,0.46,0.0613,0.4786,0.0185
82001,0.46,0.058,0.4818,0.0216
82101,0.46,0.0549,0.4856,0.0261
82201,0.46,0.0639,0.4743,0.0125
82301,0.47,0.0601,0.4727,0.0055
82401,0.45,0.0579,0.49,0.0379
82501,0.46,0.0585,0.4783,0.0151
82601,0.46,0.0596,0.4778,0.0152
82701,0.47,0.0597,0.4746,0.0089
82801,0.46,0.059,0.4827,0.0244
82901,0.46,0.0569,0.4803,0.0175
83001,0.46,0.0597,0.4822,0.0241
83101,0.46,0.0618,0.4822,0.0262
83201,0.47,0.0629,0.4716,0.0061
83301,0.46,0.0591,0.478,0.0151
83401,0.45,0.0607,0.4852,0.0311
83501,0.47,0.0664,0.4651,-0.0034
83601,0.46,0.0597,0.4823,0.0243
83701,0.46,0.0594,0.479,0.0174
83801,0.47,0.0599,0.4729,0.0057
83901,0.46,0.059,0.4855,0.03
84001,0.46,0.059,0.4767,0.0124
84101,0.46,0.0612,0.4778,0.0168
84201,0.47,0.0595,0.4737,0.0069
84301,0.47,0.0554,0.4781,0.0116
84401,0.46,0.0602,0.4791,0.0184
84501,0.46,0.0564,0.4819,0.0202
84601,0.46,0.0619,0.476,0.0139
84701,0.46,0.0609,0.4796,0.0201
84801,0.46,0.0615,0.4826,0.0267
84901,0.46,0.0598,0.4849,0.0296
85001,0.46,0.0564,0.4873,0.031
85101,0.46,0.0616,0.4815,0.0246
85201,0.47,0.0574,0.4761,0.0096
85301,0.46,0.0591,0.4772,0.0135
85401,0.47,0.0599,0.4727,0.0053
85501,0.46,0.0643,0.4721,0.0085
85601,0.47,0.0581,0.4747,0.0075
85701,0.46,0.0598,0.4779,0.0156
85801,0.47,0.0622,0.4722,0.0066
85901,0.46,0.0559,0.4825,0.0209
86001,0.46,0.0541,0.4906,0.0353
86101,0.46,0.0583,0.4798,0.0179
86201,0.46,0.0552,0.4892,0.0336
86301,0.46,0.0569,0.485,0.0269
86401,0.46,0.0576,0.4788,0.0152
86501,0.47,0.0621,0.4698,0.0017
86601,0.47,0.0632,0.4685,0.0002
86701,0.46,0.0582,0.4861,0.0304
86801,0.47,0.0568,0.4768,0.0104
86901,0.47,0.0563,0.472,0.0003
87001,0.46,0.0563,0.4816,0.0195
87101,0.46,0.0583,0.4835,0.0253
87201,0.47,0.0616,0.4672,-0.004
87301,0.47,0.0608,0.4737,0.0082
87401,0.45,0.059,0.4866,0.0322
87501,0.46,0.064,0.4749,0.0138
87601,0.46,0.0557,0.4823,0.0203
87701,0.47,0.0566,0.4782,0.013
87801,0.47,0.0573,0.4755,0.0083
87901,0.47,0.0591,0.4751,0.0093
88001,0.46,0.0573,0.4842,0.0257
88101,0.46,0.0571,0.4834,0.0239
88201,0.47,0.0549,0.472,-0.0011
88301,0.46,0.0603,0.4768,0.0139
88401,0.47,0.0576,0.4753,0.0082
88501,0.46,0.0589,0.4848,0.0285
88601,0.47,0.0555,0.4778,0.0111
